simulation,faulted_line,first_cascade_time,first_cascade_component,first_cascade_reason,num_cascade_events
Line 01 - 02_load=0.9784_wind=0.365_0.8582_0.3085,Line 01 - 02,1.66,Line 08 - 09DR1,,3
Line 01 - 39_load=0.9784_wind=0.365_0.8582_0.3085,Line 01 - 39,2.05,NSG_2,OverVoltage,3
Line 02 - 03_load=0.9784_wind=0.365_0.8582_0.3085,Line 02 - 03,3.13,Line 01 - 39DR2,,4
Line 02 - 25_load=0.9784_wind=0.365_0.8582_0.3085,Line 02 - 25,2.24,NSG_2,OverVoltage,80
Line 03 - 04_load=0.9784_wind=0.365_0.8582_0.3085,Line 03 - 04,1.46,Line 01 - 39DR2,,5
Line 04 - 05_load=0.9784_wind=0.365_0.8582_0.3085,Line 04 - 05,1.47,Line 01 - 39DR2,,5
Line 05 - 06_load=0.9784_wind=0.365_0.8582_0.3085,Line 05 - 06,3.07,Line 01 - 39DR2,,4
Line 05 - 08_load=0.9784_wind=0.365_0.8582_0.3085,Line 05 - 08,3.01,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9784_wind=0.365_0.8582_0.3085,Line 06 - 07,3.04,Line 01 - 39DR2,,4
Line 06 - 11_load=0.9784_wind=0.365_0.8582_0.3085,Line 06 - 11,3.1,Line 01 - 39DR2,,4
Line 07 - 08_load=0.9784_wind=0.365_0.8582_0.3085,Line 07 - 08,3.02,Line 01 - 39DR2,,4
Line 08 - 09_load=0.9784_wind=0.365_0.8582_0.3085,Line 08 - 09,1.89,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9784_wind=0.365_0.8582_0.3085,Line 09 - 39,2.02,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9784_wind=0.365_0.8582_0.3085,Line 10 - 11,3.07,Line 01 - 39DR2,,4
Line 15 - 16_load=0.9784_wind=0.365_0.8582_0.3085,Line 15 - 16,2.16,NSG_2,OverVoltage,21
Line 16 - 17_load=0.9784_wind=0.365_0.8582_0.3085,Line 16 - 17,2.13,Line 01 - 39DR2,,22
Line 16 - 19_load=0.9784_wind=0.365_0.8582_0.3085,Line 16 - 19,1.8,G 04,Over-Speed,18
Line 16 - 21_load=0.9784_wind=0.365_0.8582_0.3085,Line 16 - 21,2.18,NSG_2,OverVoltage,18
Line 16 - 24_load=0.9784_wind=0.365_0.8582_0.3085,Line 16 - 24,2.17,NSG_2,OverVoltage,18
Line 17 - 18_load=0.9784_wind=0.365_0.8582_0.3085,Line 17 - 18,2.19,NSG_2,OverVoltage,18
Line 23 - 24_load=0.9784_wind=0.365_0.8582_0.3085,Line 23 - 24,3.16,Line 01 - 39DR2,,4
Line 25 - 26_load=0.9784_wind=0.365_0.8582_0.3085,Line 25 - 26,2.21,NSG_2,OverVoltage,18
Line 26 - 28_load=0.9784_wind=0.365_0.8582_0.3085,Line 26 - 28,2.31,NSG_2,OverVoltage,18
Line 26 - 29_load=0.9784_wind=0.365_0.8582_0.3085,Line 26 - 29,2.35,NSG_2,OverVoltage,18
Line 28 - 29_load=0.9784_wind=0.365_0.8582_0.3085,Line 28 - 29,1.66,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1384_wind=0.216_0.0541_0.2731,Line 16 - 19,2.11,G 05,Over-Speed,18
Line 28 - 29_load=1.1384_wind=0.216_0.0541_0.2731,Line 28 - 29,1.85,Line 26 - 29DR1,,19
Line 16 - 19_load=1.1672_wind=0.1772_0.2724_0.5643,Line 16 - 19,2.2,G 05,Over-Speed,18
Line 28 - 29_load=1.1672_wind=0.1772_0.2724_0.5643,Line 28 - 29,1.83,Line 26 - 29DR1,,19
Line 01 - 02_load=0.8336_wind=0.0037_0.4908_0.6704,Line 01 - 02,1.88,Line 08 - 09DR1,,4
Line 01 - 39_load=0.8336_wind=0.0037_0.4908_0.6704,Line 01 - 39,2.04,Line 08 - 09DR1,,4
Line 02 - 03_load=0.8336_wind=0.0037_0.4908_0.6704,Line 02 - 03,1.45,Line 01 - 39DR2,,5
Line 02 - 25_load=0.8336_wind=0.0037_0.4908_0.6704,Line 02 - 25,2.13,NSG_2,OverVoltage,1
Line 08 - 09_load=0.8336_wind=0.0037_0.4908_0.6704,Line 08 - 09,2.58,Line 01 - 02DR1,,4
Line 09 - 39_load=0.8336_wind=0.0037_0.4908_0.6704,Line 09 - 39,2.8,Line 01 - 39DR2,,3
Line 15 - 16_load=0.8336_wind=0.0037_0.4908_0.6704,Line 15 - 16,2.06,NSG_2,OverVoltage,1
Line 16 - 17_load=0.8336_wind=0.0037_0.4908_0.6704,Line 16 - 17,2.3,NSG_2,OverVoltage,1
Line 16 - 19_load=0.8336_wind=0.0037_0.4908_0.6704,Line 16 - 19,1.77,G 05,Over-Speed,1
Line 16 - 21_load=0.8336_wind=0.0037_0.4908_0.6704,Line 16 - 21,2.15,NSG_2,OverVoltage,1
Line 17 - 18_load=0.8336_wind=0.0037_0.4908_0.6704,Line 17 - 18,2.14,NSG_2,OverVoltage,1
Line 21 - 22_load=0.8336_wind=0.0037_0.4908_0.6704,Line 21 - 22,2.27,NSG_2,OverVoltage,1
Line 26 - 29_load=0.8336_wind=0.0037_0.4908_0.6704,Line 26 - 29,2.34,NSG_2,OverVoltage,1
Line 28 - 29_load=0.8336_wind=0.0037_0.4908_0.6704,Line 28 - 29,2.28,NSG_2,OverVoltage,1
Line 01 - 02_load=0.823_wind=0.6228_0.7724_0.1078,Line 01 - 02,1.89,Line 08 - 09DR1,,4
Line 01 - 39_load=0.823_wind=0.6228_0.7724_0.1078,Line 01 - 39,2.03,Line 08 - 09DR1,,4
Line 02 - 25_load=0.823_wind=0.6228_0.7724_0.1078,Line 02 - 25,2.17,NSG_2,OverVoltage,1
Line 08 - 09_load=0.823_wind=0.6228_0.7724_0.1078,Line 08 - 09,2.95,Line 01 - 39DR2,,3
Line 09 - 39_load=0.823_wind=0.6228_0.7724_0.1078,Line 09 - 39,2.66,Line 01 - 39DR2,,3
Line 15 - 16_load=0.823_wind=0.6228_0.7724_0.1078,Line 15 - 16,2.11,NSG_2,OverVoltage,1
Line 16 - 17_load=0.823_wind=0.6228_0.7724_0.1078,Line 16 - 17,2.48,NSG_2,OverVoltage,1
Line 16 - 19_load=0.823_wind=0.6228_0.7724_0.1078,Line 16 - 19,1.81,G 05,Over-Speed,1
Line 28 - 29_load=0.823_wind=0.6228_0.7724_0.1078,Line 28 - 29,2.27,NSG_2,OverVoltage,1
Line 01 - 02_load=1.1076_wind=0.4452_0.4663_0.833,Line 01 - 02,2.24,Line 08 - 09DR1,,4
Line 01 - 39_load=1.1076_wind=0.4452_0.4663_0.833,Line 01 - 39,3.24,NSG_2,OverVoltage,4
Line 02 - 03_load=1.1076_wind=0.4452_0.4663_0.833,Line 02 - 03,1.56,Line 01 - 39DR2,,5
Line 08 - 09_load=1.1076_wind=0.4452_0.4663_0.833,Line 08 - 09,4.63,Line 01 - 39DR2,,3
Line 09 - 39_load=1.1076_wind=0.4452_0.4663_0.833,Line 09 - 39,2.39,Line 01 - 39DR2,,3
Line 16 - 19_load=1.1076_wind=0.4452_0.4663_0.833,Line 16 - 19,2.03,G 05,Over-Speed,18
Line 21 - 22_load=1.1076_wind=0.4452_0.4663_0.833,Line 21 - 22,2.41,NSG_2,OverVoltage,18
Line 28 - 29_load=1.1076_wind=0.4452_0.4663_0.833,Line 28 - 29,1.74,Line 26 - 29DR1,,19
Line 01 - 02_load=0.9_wind=0.669_0.2119_0.3656,Line 01 - 02,1.79,Line 08 - 09DR1,,4
Line 01 - 39_load=0.9_wind=0.669_0.2119_0.3656,Line 01 - 39,1.91,Line 08 - 09DR1,,4
Line 02 - 03_load=0.9_wind=0.669_0.2119_0.3656,Line 02 - 03,1.46,Line 01 - 39DR2,,5
Line 02 - 25_load=0.9_wind=0.669_0.2119_0.3656,Line 02 - 25,2.17,NSG_2,OverVoltage,1
Line 03 - 04_load=0.9_wind=0.669_0.2119_0.3656,Line 03 - 04,1.47,Line 01 - 39DR2,,5
Line 05 - 08_load=0.9_wind=0.669_0.2119_0.3656,Line 05 - 08,1.59,Line 01 - 39DR2,,5
Line 06 - 07_load=0.9_wind=0.669_0.2119_0.3656,Line 06 - 07,1.59,Line 01 - 39DR2,,5
Line 07 - 08_load=0.9_wind=0.669_0.2119_0.3656,Line 07 - 08,1.62,Line 01 - 39DR2,,5
Line 08 - 09_load=0.9_wind=0.669_0.2119_0.3656,Line 08 - 09,2.09,Line 01 - 02DR1,,4
Line 09 - 39_load=0.9_wind=0.669_0.2119_0.3656,Line 09 - 39,2.29,Line 01 - 02DR1,,4
Line 10 - 11_load=0.9_wind=0.669_0.2119_0.3656,Line 10 - 11,1.61,Line 01 - 39DR2,,5
Line 14 - 15_load=0.9_wind=0.669_0.2119_0.3656,Line 14 - 15,1.62,Line 01 - 39DR2,,5
Line 15 - 16_load=0.9_wind=0.669_0.2119_0.3656,Line 15 - 16,2.05,NSG_2,OverVoltage,1
Line 16 - 17_load=0.9_wind=0.669_0.2119_0.3656,Line 16 - 17,2.28,NSG_2,OverVoltage,1
Line 16 - 19_load=0.9_wind=0.669_0.2119_0.3656,Line 16 - 19,1.8,G 05,Over-Speed,17
