channel_name
"B_L03_u1, Magnitude in p.u."
"B_L04_u1, Magnitude in p.u."
"B_L07_u1, Magnitude in p.u."
"B_L08_u1, Magnitude in p.u."
"B_L12_u1, Magnitude in p.u."
"B_L15_u1, Magnitude in p.u."
"B_L16_u1, Magnitude in p.u."
"B_L18_u1, Magnitude in p.u."
"B_L20_u1, Magnitude in p.u."
"B_L21_u1, Magnitude in p.u."
"B_L23_u1, Magnitude in p.u."
"B_L24_u1, Magnitude in p.u."
"B_L25_u1, Magnitude in p.u."
"B_L26_u1, Magnitude in p.u."
"B_L27_u1, Magnitude in p.u."
"B_L28_u1, Magnitude in p.u."
"B_L29_u1, Magnitude in p.u."
"Bus 01_u1, Magnitude in p.u."
"Bus 02_u1, Magnitude in p.u."
"Bus 03_u1, Magnitude in p.u."
"Bus 04_u1, Magnitude in p.u."
"Bus 05_u1, Magnitude in p.u."
"Bus 06_u1, Magnitude in p.u."
"Bus 07_u1, Magnitude in p.u."
"Bus 08_u1, Magnitude in p.u."
"Bus 09_u1, Magnitude in p.u."
"Bus 10_u1, Magnitude in p.u."
"Bus 11_u1, Magnitude in p.u."
"Bus 12_u1, Magnitude in p.u."
"Bus 13_u1, Magnitude in p.u."
"Bus 14_u1, Magnitude in p.u."
"Bus 15_u1, Magnitude in p.u."
"Bus 16_u1, Magnitude in p.u."
"Bus 17_u1, Magnitude in p.u."
"Bus 18_u1, Magnitude in p.u."
"Bus 19_u1, Magnitude in p.u."
"Bus 20_u1, Magnitude in p.u."
"Bus 21_u1, Magnitude in p.u."
"Bus 22_u1, Magnitude in p.u."
"Bus 23_u1, Magnitude in p.u."
"Bus 24_u1, Magnitude in p.u."
"Bus 25_u1, Magnitude in p.u."
"Bus 26_u1, Magnitude in p.u."
"Bus 27_u1, Magnitude in p.u."
"Bus 28_u1, Magnitude in p.u."
"Bus 29_u1, Magnitude in p.u."
"Bus 30_u1, Magnitude in p.u."
"Bus 31_u1, Magnitude in p.u."
"Bus 32_u1, Magnitude in p.u."
"Bus 33_u1, Magnitude in p.u."
"Bus 34_u1, Magnitude in p.u."
"Bus 35_u1, Magnitude in p.u."
"Bus 36_u1, Magnitude in p.u."
"Bus 37_u1, Magnitude in p.u."
"Bus 38_u1, Magnitude in p.u."
"Bus 39_u1, Magnitude in p.u."
"Bus_NSG_1_u1, Magnitude in p.u."
"Bus_NSG_2_u1, Magnitude in p.u."
"Bus_NSG_3_u1, Magnitude in p.u."
"Line 01 - 02_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 01 - 39_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 02 - 03_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 02 - 25_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 03 - 04_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 03 - 18_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 04 - 05_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 04 - 14_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 05 - 06_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 05 - 08_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 06 - 07_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 06 - 11_Positive-Sequence Current, Magnitude/Terminal i in kA"
"Line 07 - 08_Positive-Sequence Current, Magnitude/Terminal i in kA"
